"unique_id","poll_id","poll_name","group_id","freqgrp_grp","extgrp_grp","freqdis_grp","extdis_grp"
"2503ukbge.t1eu",4,"UK General Election",2503,FALSE,-0.0905769244791606,FALSE,-0.0850000008940694
"2504ukbge.t1eu",4,"UK General Election",2504,FALSE,-0.239487184622349,FALSE,-0.223333338896434
"2505ukbge.t1eu",4,"UK General Election",2505,FALSE,-0.184179566270058,FALSE,-0.079999983310699
"2506ukbge.t1eu",4,"UK General Election",2506,FALSE,-0.112000000476837,TRUE,0.170000016689301
"2507ukbge.t1eu",4,"UK General Election",2507,FALSE,-0.199333330988884,FALSE,-0.329999983310699
"2508ukbge.t1eu",4,"UK General Election",2508,FALSE,-0.188901097564907,FALSE,0
"2509ukbge.t1eu",4,"UK General Election",2509,FALSE,-0.201333325166328,FALSE,-0.0979999899864195
"2511ukbge.t1eu",4,"UK General Election",2511,FALSE,-0.092820514089022,FALSE,0
"2512ukbge.t1eu",4,"UK General Election",2512,TRUE,0.0670588165521621,TRUE,0.170000016689301
"2513ukbge.t1eu",4,"UK General Election",2513,TRUE,0.21000000461936,TRUE,0.165000006556511
"2514ukbge.t1eu",4,"UK General Election",2514,TRUE,0.258699686580767,TRUE,0.276666661103566
"2515ukbge.t1eu",4,"UK General Election",2515,FALSE,-0.0162878845903007,TRUE,0.109999999403954
"2602aus.republican1",5,"Australia Republic Referendum",2602,FALSE,-1.11022302462516e-16,TRUE,0.083333333333333
"2603aus.republican1",5,"Australia Republic Referendum",2603,FALSE,-0.141025641025641,FALSE,-0.291666666666667
"2604aus.republican1",5,"Australia Republic Referendum",2604,FALSE,-0.0222222222222221,TRUE,0.0500000000000002
"2605aus.republican1",5,"Australia Republic Referendum",2605,FALSE,-0.25,TRUE,0.041666666666667
"2606aus.republican1",5,"Australia Republic Referendum",2606,FALSE,-0.105769230769231,FALSE,-0.166666666666667
"2607aus.republican1",5,"Australia Republic Referendum",2607,TRUE,0.0833333333333334,TRUE,0.416666666666667
"2608aus.republican1",5,"Australia Republic Referendum",2608,NA,NA,FALSE,0
"2609aus.republican1",5,"Australia Republic Referendum",2609,TRUE,0.0833333333333333,TRUE,0.194444444444445
"2610aus.republican1",5,"Australia Republic Referendum",2610,TRUE,0.00595238095238115,FALSE,-0.0138888888888888
"2611aus.republican1",5,"Australia Republic Referendum",2611,FALSE,-0.0378787878787876,FALSE,-0.0666666666666664
"2612aus.republican1",5,"Australia Republic Referendum",2612,FALSE,-0.0902777777777777,FALSE,0
"2613aus.republican1",5,"Australia Republic Referendum",2613,TRUE,0.109375,TRUE,0.708333333333333
"2614aus.republican1",5,"Australia Republic Referendum",2614,FALSE,-0.0714285714285716,FALSE,-0.041666666666667
"2615aus.republican1",5,"Australia Republic Referendum",2615,TRUE,0.0288461538461539,TRUE,0.0833333333333334
"2616aus.republican1",5,"Australia Republic Referendum",2616,FALSE,-0.166666666666667,TRUE,0.0499999999999999
"2617aus.republican1",5,"Australia Republic Referendum",2617,TRUE,0.013888888888889,FALSE,-0.0208333333333333
"2618aus.republican1",5,"Australia Republic Referendum",2618,FALSE,-0.15,FALSE,-0.145833333333333
"2619aus.republican1",5,"Australia Republic Referendum",2619,TRUE,0.0833333333333334,TRUE,0.354166666666667
"2620aus.republican1",5,"Australia Republic Referendum",2620,TRUE,0.0611111111111112,FALSE,0
"2621aus.republican1",5,"Australia Republic Referendum",2621,TRUE,0.147435897435897,TRUE,0.25
"2622aus.republican1",5,"Australia Republic Referendum",2622,FALSE,-0.147435897435898,FALSE,-0.0625
"2623aus.republican1",5,"Australia Republic Referendum",2623,FALSE,-0.121794871794872,FALSE,-0.333333333333333
"2624aus.republican1",5,"Australia Republic Referendum",2624,FALSE,-0.0576923076923076,FALSE,-0.083333333333333
"2602aus.popparl1",5,"Australia Republic Referendum",2602,FALSE,-0.485714285714286,FALSE,0
"2603aus.popparl1",5,"Australia Republic Referendum",2603,FALSE,-0.236263736263736,FALSE,0
"2604aus.popparl1",5,"Australia Republic Referendum",2604,FALSE,-0.28030303030303,FALSE,-0.35
