"unique_id","poll_id","group_id","freqgrp_grp","extgrp_grp","freqdis_grp","extdis_grp"
"2204ukhealth.t1poora",2,2204,FALSE,-0.0192307692307693,FALSE,-0.0491071428571429
"2205ukhealth.t1poora",2,2205,TRUE,0.107142857142857,TRUE,0.209821428571429
"2206ukhealth.t1poora",2,2206,FALSE,-0.0401785714285714,TRUE,0.0729166666666666
"2207ukhealth.t1poora",2,2207,TRUE,0.196428571428571,TRUE,0.5625
"2208ukhealth.t1poora",2,2208,FALSE,-0.125,FALSE,-0.0714285714285715
"2209ukhealth.t1poora",2,2209,FALSE,-0.234375,FALSE,-0.166666666666667
"2210ukhealth.t1poora",2,2210,FALSE,-0.134615384615385,FALSE,-0.05
"2211ukhealth.t1poora",2,2211,TRUE,0.046875,NA,NA
"2212ukhealth.t1poora",2,2212,FALSE,-0.0643382352941176,TRUE,0.107142857142857
"2213ukhealth.t1poora",2,2213,FALSE,-0.0178571428571429,FALSE,0
"2214ukhealth.t1poora",2,2214,TRUE,0.117647058823529,TRUE,0.159090909090909
"2215ukhealth.t1poora",2,2215,TRUE,0.125,TRUE,0.011904761904762
"2201ukhealth.t1option",2,2201,NA,NA,FALSE,0
"2202ukhealth.t1option",2,2202,FALSE,0,FALSE,0
"2203ukhealth.t1option",2,2203,FALSE,0,FALSE,0
"2204ukhealth.t1option",2,2204,FALSE,-0.0666666666666667,FALSE,0
"2205ukhealth.t1option",2,2205,TRUE,0.0576923076923077,TRUE,0.1875
"2206ukhealth.t1option",2,2206,FALSE,0,FALSE,0
"2207ukhealth.t1option",2,2207,TRUE,0.0384615384615385,TRUE,0.125
"2208ukhealth.t1option",2,2208,TRUE,0.0238970588235294,FALSE,0
"2209ukhealth.t1option",2,2209,FALSE,-0.0541666666666667,FALSE,-0.166666666666667
"2210ukhealth.t1option",2,2210,TRUE,0.0979020979020979,NA,NA
"2211ukhealth.t1option",2,2211,TRUE,0.0291666666666667,FALSE,0
"2212ukhealth.t1option",2,2212,TRUE,0.0955882352941176,TRUE,0.166666666666667
"2213ukhealth.t1option",2,2213,FALSE,-0.0521978021978021,FALSE,-0.0222222222222223
