"poll_id","source_poll_id","poll_name","issue_id","pair_id","group_id","group_key","net_change","gross_change","n_complete"
13,92,"National Issues Convention 2","nic2.t1humrh2","13:9210::nic2.t1humrh2","9210","13:9210",0.0214285701513291,0.178571413670267,14
13,92,"National Issues Convention 2","nic2.t1humrh2","13:9211::nic2.t1humrh2","9211","13:9211",0.0285714311259134,0.100000006811959,14
13,92,"National Issues Convention 2","nic2.t1humrh2","13:9212::nic2.t1humrh2","9212","13:9212",1.17080552544668e-08,0.17142857078995,14
13,92,"National Issues Convention 2","nic2.t1humrh2","13:9213::nic2.t1humrh2","9213","13:9213",0.0866666714350382,0.219999996821086,15
13,92,"National Issues Convention 2","nic2.t1humrh2","13:9214::nic2.t1humrh2","9214","13:9214",0.0933333237965901,0.159999998410543,15
13,92,"National Issues Convention 2","nic2.t1humrh2","13:9215::nic2.t1humrh2","9215","13:9215",0.0857142901846341,0.199999997658389,14
13,92,"National Issues Convention 2","nic2.t1humrh2","13:9216::nic2.t1humrh2","9216","13:9216",0.0714285799435208,0.19999999659402,14
13,92,"National Issues Convention 2","nic2.t1humrh2","13:9217::nic2.t1humrh2","9217","13:9217",0.0461538342329171,0.18461537361145,13
13,92,"National Issues Convention 2","nic2.t1humrh2","13:9218::nic2.t1humrh2","9218","13:9218",0.0769230746305906,0.123076922618426,13
13,92,"National Issues Convention 2","nic2.t1humrh2","13:9219::nic2.t1humrh2","9219","13:9219",1.86264510933232e-09,0.112499995157123,16
13,92,"National Issues Convention 2","nic2.t1humrh2","13:9220::nic2.t1humrh2","9220","13:9220",0.0714285671710968,0.128571437937873,14
13,92,"National Issues Convention 2","nic2.t1humrh2","13:9221::nic2.t1humrh2","9221","13:9221",0.0333333318432172,0.166666668156783,15
13,92,"National Issues Convention 2","nic2.t1humrh2","13:9222::nic2.t1humrh2","9222","13:9222",0.0749999955296517,0.191666670143604,12
13,92,"National Issues Convention 2","nic2.t1humrh2","13:9223::nic2.t1humrh2","9223","13:9223",0.0500000012772424,0.149999999574253,14
13,92,"National Issues Convention 2","nic2.t1humrh2","13:9224::nic2.t1humrh2","9224","13:9224",0.00833332786957424,0.0916666512688001,12
13,92,"National Issues Convention 2","nic2.t1multi","13:9201::nic2.t1multi","9201","13:9201",0.0619080781936647,0.081967600186666,15
13,92,"National Issues Convention 2","nic2.t1multi","13:9202::nic2.t1multi","9202","13:9202",0.0536904851595564,0.0640277822812399,15
13,92,"National Issues Convention 2","nic2.t1multi","13:9203::nic2.t1multi","9203","13:9203",0.0871961805969478,0.110689477995038,16
13,92,"National Issues Convention 2","nic2.t1multi","13:9204::nic2.t1multi","9204","13:9204",0.0646494805812835,0.0789550324281056,15
13,92,"National Issues Convention 2","nic2.t1multi","13:9205::nic2.t1multi","9205","13:9205",0.0404166664396014,0.114940473011562,14
13,92,"National Issues Convention 2","nic2.t1multi","13:9206::nic2.t1multi","9206","13:9206",0.00418956004656302,0.115956962108612,13
13,92,"National Issues Convention 2","nic2.t1multi","13:9207::nic2.t1multi","9207","13:9207",0.0543433874845508,0.113718383014202,16
13,92,"National Issues Convention 2","nic2.t1multi","13:9208::nic2.t1multi","9208","13:9208",0.0614736011395089,0.104582577943802,13
13,92,"National Issues Convention 2","nic2.t1multi","13:9209::nic2.t1multi","9209","13:9209",0.0524872413703374,0.0759141147136688,14
13,92,"National Issues Convention 2","nic2.t1multi","13:9210::nic2.t1multi","9210","13:9210",0.0538407010691507,0.0892148571355004,14
13,92,"National Issues Convention 2","nic2.t1multi","13:9211::nic2.t1multi","9211","13:9211",0.074804425239563,0.104396266596658,14
13,92,"National Issues Convention 2","nic2.t1multi","13:9212::nic2.t1multi","9212","13:9212",0.0275276345866067,0.0514264489923204,14
13,92,"National Issues Convention 2","nic2.t1multi","13:9213::nic2.t1multi","9213","13:9213",0.0391567428906761,0.0986805558204653,15
13,92,"National Issues Convention 2","nic2.t1multi","13:9214::nic2.t1multi","9214","13:9214",0.0508961598078411,0.107331347465515,15
13,92,"National Issues Convention 2","nic2.t1multi","13:9215::nic2.t1multi","9215","13:9215",0.00592049317700514,0.0739689618349074,14
13,92,"National Issues Convention 2","nic2.t1multi","13:9216::nic2.t1multi","9216","13:9216",0.0744154027530127,0.107791244983673,14
13,92,"National Issues Convention 2","nic2.t1multi","13:9217::nic2.t1multi","9217","13:9217",0.0711653049175558,0.0841002831092249,13
13,92,"National Issues Convention 2","nic2.t1multi","13:9218::nic2.t1multi","9218","13:9218",0.0226381237690266,0.0720047354698183,13
13,92,"National Issues Convention 2","nic2.t1multi","13:9219::nic2.t1multi","9219","13:9219",0.0493830684572461,0.0923518110066653,16
13,92,"National Issues Convention 2","nic2.t1multi","13:9220::nic2.t1multi","9220","13:9220",0.0731753025736127,0.133641575063978,14
13,92,"National Issues Convention 2","nic2.t1multi","13:9221::nic2.t1multi","9221","13:9221",0.0811541095376016,0.111848554511865,15
13,92,"National Issues Convention 2","nic2.t1multi","13:9222::nic2.t1multi","9222","13:9222",0.0513186256090802,0.12138311068217,12
13,92,"National Issues Convention 2","nic2.t1multi","13:9223::nic2.t1multi","9223","13:9223",0.0939944812229703,0.130197712353298,14
13,92,"National Issues Convention 2","nic2.t1multi","13:9224::nic2.t1multi","9224","13:9224",0.0549842889110248,0.0766030227144561,12
13,92,"National Issues Convention 2","nic2.t1inter","13:9201::nic2.t1inter","9201","13:9201",0.233333333333333,0.233333333333333,15
13,92,"National Issues Convention 2","nic2.t1inter","13:9202::nic2.t1inter","9202","13:9202",0.107142857142857,0.25,14
13,92,"National Issues Convention 2","nic2.t1inter","13:9203::nic2.t1inter","9203","13:9203",0.046875,0.109375,16
13,92,"National Issues Convention 2","nic2.t1inter","13:9204::nic2.t1inter","9204","13:9204",0.142857142857143,0.214285714285714,14
13,92,"National Issues Convention 2","nic2.t1inter","13:9205::nic2.t1inter","9205","13:9205",0.196428571428571,0.232142857142857,14
13,92,"National Issues Convention 2","nic2.t1inter","13:9206::nic2.t1inter","9206","13:9206",0.0208333333333333,0.354166666666667,12
13,92,"National Issues Convention 2","nic2.t1inter","13:9207::nic2.t1inter","9207","13:9207",0.171875,0.203125,16
13,92,"National Issues Convention 2","nic2.t1inter","13:9208::nic2.t1inter","9208","13:9208",0.115384615384615,0.153846153846154,13
13,92,"National Issues Convention 2","nic2.t1inter","13:9209::nic2.t1inter","9209","13:9209",0.0178571428571429,0.232142857142857,14
13,92,"National Issues Convention 2","nic2.t1inter","13:9210::nic2.t1inter","9210","13:9210",0.214285714285714,0.25,14
13,92,"National Issues Convention 2","nic2.t1inter","13:9211::nic2.t1inter","9211","13:9211",0.125,0.267857142857143,14
13,92,"National Issues Convention 2","nic2.t1inter","13:9212::nic2.t1inter","9212","13:9212",0.160714285714286,0.196428571428571,14
13,92,"National Issues Convention 2","nic2.t1inter","13:9213::nic2.t1inter","9213","13:9213",0.2,0.266666666666667,15
13,92,"National Issues Convention 2","nic2.t1inter","13:9214::nic2.t1inter","9214","13:9214",0.0892857142857143,0.196428571428571,14
13,92,"National Issues Convention 2","nic2.t1inter","13:9215::nic2.t1inter","9215","13:9215",0.0357142857142857,0.178571428571429,14
13,92,"National Issues Convention 2","nic2.t1inter","13:9216::nic2.t1inter","9216","13:9216",0.107142857142857,0.178571428571429,14
13,92,"National Issues Convention 2","nic2.t1inter","13:9217::nic2.t1inter","9217","13:9217",0.192307692307692,0.269230769230769,13
13,92,"National Issues Convention 2","nic2.t1inter","13:9218::nic2.t1inter","9218","13:9218",0,0.192307692307692,13
13,92,"National Issues Convention 2","nic2.t1inter","13:9219::nic2.t1inter","9219","13:9219",0.046875,0.234375,16
13,92,"National Issues Convention 2","nic2.t1inter","13:9220::nic2.t1inter","9220","13:9220",0.0961538461538462,0.25,13
13,92,"National Issues Convention 2","nic2.t1inter","13:9221::nic2.t1inter","9221","13:9221",0.15,0.15,15
13,92,"National Issues Convention 2","nic2.t1inter","13:9222::nic2.t1inter","9222","13:9222",0.145833333333333,0.1875,12
13,92,"National Issues Convention 2","nic2.t1inter","13:9223::nic2.t1inter","9223","13:9223",0.125,0.196428571428571,14
