"dimension","measure","outcome","estimate","null","se","df","p","conf_low","conf_high","se_two_way","df_two_way","p_two_way","two_way_variance_nonnegative","n_pairs","n_groups","n_issues","n_polls","mean_absolute","proportion_abs_gt_10","proportion_abs_gt_20","leave_one_poll_min","leave_one_poll_max","p_holm_24","p_bh_24","p_bonferroni_24"
"Income","dM","ext_dis",0.0489862534780055,0,0.0146400670489663,7.39939491719995,0.011354446435816,0.0147432131219961,0.083229293834015,0.00739520065337791,65,7.96398988235897e-09,TRUE,1144,197,66,11,0.124768242638903,0.451048951048951,0.193181818181818,0.0350302961973082,0.0548503364056737,0.102190017922344,0.0170316696537239,0.272506714459583
"Income","aM","ext_adv",-0.0325556519693918,0,0.00800787706349784,7.39939491719995,0.00424938394922974,-0.0512860345922418,-0.0138252693465418,0.00638872618744869,65,3.21373975776441e-06,TRUE,1144,197,66,11,0.118697713333708,0.407342657342657,0.173076923076923,-0.0357460423615079,-0.025696352048941,0.0531693813618248,0.00784501652165491,0.101985214781514
"Income","Db","freqgrp_grp",0.505244755244755,0.5,0.0175306357671474,7.39939491719995,0.773034706985812,0.464240689755635,0.546248820733876,0.0161377796345271,65,0.746225907643511,TRUE,1144,197,66,11,NA,NA,NA,0.496204933586338,0.514008620689655,1,0.773034706985812,1
"Income","dMb","freqdis_grp",0.567307692307692,0.5,0.023146675281288,7.39939491719995,0.0213820403664832,0.513167739730047,0.621447644885338,0.015246669456346,65,3.9047778680697e-05,TRUE,1144,197,66,11,NA,NA,NA,0.548625792811839,0.577290076335878,0.171056322931865,0.0301864099291527,0.513168968795596
"Income","aMb","freqadv_grp",0.412587412587412,0.5,0.0169508747167866,7.39939491719995,0.0011065561257483,0.372939405166738,0.452235420008086,0.018793423683066,65,1.66800143524852e-05,TRUE,1144,197,66,11,NA,NA,NA,0.404174573055028,0.420801526717557,0.0177048980119728,0.0029508163353288,0.0265573470179592
"Gender, education, and income","D","ext_grp",0.0128518499469044,0,0.00593830842749608,7.50415982653461,0.0645976792508518,-0.00100102047783196,0.0267047203716408,0.00594461325537314,65,0.0343104566475967,TRUE,983,173,66,11,0.0945687055714464,0.34587995930824,0.120040691759919,0.00920991927661815,0.0159097411494637,0.437960514163916,0.0815970685273917,1
"Gender, education, and income","dM","ext_dis",0.0294512513677183,0,0.00723268923832714,7.50415982653461,0.00408995241244806,0.0125788527605651,0.0463236499748716,0.00649941683899154,65,2.57255513315603e-05,TRUE,983,173,66,11,0.10202144280614,0.391658189216684,0.136317395727365,0.0254114479771132,0.0327711225037513,0.0531693813618248,0.00784501652165491,0.0981588578987535
"Gender, education, and income","aM","ext_adv",-0.0641275881127158,0,0.0153468508742958,7.50198069605272,0.00355641152734177,-0.0999306286634876,-0.028324547561944,0.0106834726214076,65,9.58806113460424e-08,TRUE,973,173,66,11,0.144399131554018,0.457348406988695,0.247687564234327,-0.0711459838403448,-0.0519537959009942,0.0497897613827847,0.00775944333238204,0.0853538766562024
"Gender, education, and income","Db","freqgrp_grp",0.51881993896236,0.5,0.0152819092069643,7.50415982653461,0.255323694409537,0.483170340988224,0.554469536936497,0.0206120695005035,65,0.364588275926651,TRUE,983,173,66,11,NA,NA,NA,0.510514018691589,0.527061855670103,1,0.291798507896614,1
"Gender, education, and income","dMb","freqdis_grp",0.552390640895219,0.5,0.0149329520997189,7.50415982653461,0.00883596894336692,0.5175550891515,0.587226192638938,0.0183551744939472,65,0.00578175062973815,TRUE,983,173,66,11,NA,NA,NA,0.544776119402985,0.559726962457338,0.0883596894336692,0.0141375503093871,0.212063254640806
"Gender, education, and income","aMb","freqadv_grp",0.303186022610484,0.5,0.0216141429434521,7.50198069605272,2.5678059271176e-05,0.252761864415873,0.353610180805094,0.0174695801431012,65,6.28432522860358e-17,TRUE,973,173,66,11,NA,NA,NA,0.290588235294117,0.318823529411765,0.000513561185423519,0.000123254684501645,0.000616273422508223
