event_id,construct,membership,metric,pairs,mean,positive_fraction,specification
whatsapp_gen_HM,stereotype_judgment,available,d_gender,0,NA,NA,exclude_flagged_respondents
whatsapp_gen_HM,stereotype_judgment,available,d_income,228,0.007675438596491206,0.34649122807017546,exclude_flagged_respondents
whatsapp_gen_HM,stereotype_judgment,available,h,552,0.025299563276149118,0.3278985507246377,exclude_flagged_respondents
whatsapp_gen_HM,stereotype_judgment,available,p,0,NA,NA,exclude_flagged_respondents
whatsapp_gen_HM,stereotype_judgment,available,p_absolute,0,NA,NA,exclude_flagged_respondents
whatsapp_igr_HH,affect,available,d_combined,16,-0.0078125,0.375,exclude_flagged_respondents
whatsapp_igr_HH,affect,available,d_education,75,-0.0033333333333333127,0.3466666666666667,exclude_flagged_respondents
whatsapp_igr_HH,affect,available,d_gender,0,NA,NA,exclude_flagged_respondents
whatsapp_igr_HH,affect,available,d_income,261,0.010057471264367868,0.3793103448275862,exclude_flagged_respondents
whatsapp_igr_HH,affect,available,h,720,0.012030636207687795,0.33611111111111114,exclude_flagged_respondents
whatsapp_igr_HH,affect,available,p,637,-0.09595761381475656,0.17425431711145997,exclude_flagged_respondents
whatsapp_igr_HH,affect,available,p_absolute,890,0.0035112359550562035,0.3235955056179775,exclude_flagged_respondents
whatsapp_igr_HH,stereotype_judgment,available,d_combined,12,0.03125,0.3333333333333333,exclude_flagged_respondents
whatsapp_igr_HH,stereotype_judgment,available,d_education,57,-0.024122807017543844,0.2807017543859649,exclude_flagged_respondents
whatsapp_igr_HH,stereotype_judgment,available,d_gender,0,NA,NA,exclude_flagged_respondents
whatsapp_igr_HH,stereotype_judgment,available,d_income,212,-0.013561320754716999,0.28773584905660377,exclude_flagged_respondents
whatsapp_igr_HH,stereotype_judgment,available,h,576,-0.008593311576919865,0.2864583333333333,exclude_flagged_respondents
whatsapp_igr_HH,stereotype_judgment,available,p,0,NA,NA,exclude_flagged_respondents
whatsapp_igr_HH,stereotype_judgment,available,p_absolute,0,NA,NA,exclude_flagged_respondents
whatsapp_igr_HM,affect,available,d_combined,57,-0.028508771929824595,0.3333333333333333,exclude_flagged_respondents
whatsapp_igr_HM,affect,available,d_education,148,-0.040540540540540536,0.30405405405405406,exclude_flagged_respondents
whatsapp_igr_HM,affect,available,d_gender,0,NA,NA,exclude_flagged_respondents
whatsapp_igr_HM,affect,available,d_income,212,0.025353773584905672,0.4056603773584906,exclude_flagged_respondents
whatsapp_igr_HM,affect,available,h,620,0.02223964876312532,0.34838709677419355,exclude_flagged_respondents
whatsapp_igr_HM,affect,available,p,616,-0.07670454545454543,0.20616883116883117,exclude_flagged_respondents
whatsapp_igr_HM,affect,available,p_absolute,820,-0.0030487804878049367,0.3,exclude_flagged_respondents
whatsapp_igr_HM,stereotype_judgment,available,d_combined,52,-0.026442307692307678,0.38461538461538464,exclude_flagged_respondents
whatsapp_igr_HM,stereotype_judgment,available,d_education,131,-0.040076335877862586,0.2748091603053435,exclude_flagged_respondents
whatsapp_igr_HM,stereotype_judgment,available,d_gender,0,NA,NA,exclude_flagged_respondents
whatsapp_igr_HM,stereotype_judgment,available,d_income,165,-0.008333333333333358,0.34545454545454546,exclude_flagged_respondents
whatsapp_igr_HM,stereotype_judgment,available,h,496,0.01069213882842563,0.3185483870967742,exclude_flagged_respondents
whatsapp_igr_HM,stereotype_judgment,available,p,0,NA,NA,exclude_flagged_respondents
whatsapp_igr_HM,stereotype_judgment,available,p_absolute,0,NA,NA,exclude_flagged_respondents
whatsapp_gen_HH,affect,paired,d_combined,94,0,0.3404255319148936,primary
whatsapp_gen_HH,affect,paired,d_education,201,0.0031094527363183847,0.35323383084577115,primary
whatsapp_gen_HH,affect,paired,d_gender,0,NA,NA,primary
whatsapp_gen_HH,affect,paired,d_income,362,0.014157458563535912,0.36187845303867405,primary
whatsapp_gen_HH,affect,paired,h,940,0.015232885445774018,0.33191489361702126,primary
whatsapp_gen_HH,affect,paired,p,714,-0.0675770308123249,0.19607843137254902,primary
whatsapp_gen_HH,affect,paired,p_absolute,990,0.007954545454545466,0.3212121212121212,primary
whatsapp_gen_HH,stereotype_judgment,paired,d_combined,68,-0.012867647058823532,0.29411764705882354,primary
whatsapp_gen_HH,stereotype_judgment,paired,d_education,158,-0.012658227848101245,0.3227848101265823,primary
whatsapp_gen_HH,stereotype_judgment,paired,d_gender,0,NA,NA,primary
whatsapp_gen_HH,stereotype_judgment,paired,d_income,295,-0.0012711864406779307,0.33220338983050846,primary
whatsapp_gen_HH,stereotype_judgment,paired,h,760,-0.001395605489183963,0.2986842105263158,primary
whatsapp_gen_HH,stereotype_judgment,paired,p,0,NA,NA,primary
whatsapp_gen_HH,stereotype_judgment,paired,p_absolute,0,NA,NA,primary
whatsapp_gen_HM,affect,paired,d_combined,97,0.04123711340206183,0.44329896907216493,primary
whatsapp_gen_HM,affect,paired,d_education,146,0.00941780821917804,0.3767123287671233,primary
whatsapp_gen_HM,affect,paired,d_gender,0,NA,NA,primary
whatsapp_gen_HM,affect,paired,d_income,303,0.027640264026402617,0.39933993399339934,primary
whatsapp_gen_HM,affect,paired,h,740,0.008838834764831821,0.327027027027027,primary
whatsapp_gen_HM,affect,paired,p,619,-0.08057350565428106,0.18578352180936994,primary
whatsapp_gen_HM,affect,paired,p_absolute,800,-0.002656249999999987,0.31625,primary
whatsapp_gen_HM,stereotype_judgment,paired,d_combined,99,0.007575757575757583,0.36363636363636365,primary
whatsapp_gen_HM,stereotype_judgment,paired,d_education,129,-0.008720930232558134,0.37209302325581395,primary
whatsapp_gen_HM,stereotype_judgment,paired,d_gender,0,NA,NA,primary
whatsapp_gen_HM,stereotype_judgment,paired,d_income,251,0.01892430278884461,0.3545816733067729,primary
whatsapp_gen_HM,stereotype_judgment,paired,h,600,0.025927248643506734,0.3383333333333333,primary
whatsapp_gen_HM,stereotype_judgment,paired,p,0,NA,NA,primary
whatsapp_gen_HM,stereotype_judgment,paired,p_absolute,0,NA,NA,primary
whatsapp_igr_HH,affect,paired,d_combined,16,-0.0078125,0.375,primary
whatsapp_igr_HH,affect,paired,d_education,89,0.008426966292134852,0.3707865168539326,primary
whatsapp_igr_HH,affect,paired,d_gender,0,NA,NA,primary
whatsapp_igr_HH,affect,paired,d_income,281,-4.448398576512396e-4,0.35231316725978645,primary
whatsapp_igr_HH,affect,paired,h,870,0.012597879434932707,0.3333333333333333,primary
whatsapp_igr_HH,affect,paired,p,680,-0.08731617647058819,0.17058823529411765,primary
whatsapp_igr_HH,affect,paired,p_absolute,920,0.00679347826086954,0.3239130434782609,primary
whatsapp_igr_HH,stereotype_judgment,paired,d_combined,12,0.03125,0.3333333333333333,primary
whatsapp_igr_HH,stereotype_judgment,paired,d_education,71,-0.024647887323943646,0.2676056338028169,primary
whatsapp_igr_HH,stereotype_judgment,paired,d_gender,0,NA,NA,primary
whatsapp_igr_HH,stereotype_judgment,paired,d_income,235,-0.02127659574468088,0.2680851063829787,primary
whatsapp_igr_HH,stereotype_judgment,paired,h,696,-0.0015239370284192753,0.2959770114942529,primary
whatsapp_igr_HH,stereotype_judgment,paired,p,0,NA,NA,primary
whatsapp_igr_HH,stereotype_judgment,paired,p_absolute,0,NA,NA,primary
whatsapp_igr_HM,affect,paired,d_combined,52,0.014423076923076964,0.36538461538461536,primary
whatsapp_igr_HM,affect,paired,d_education,144,-0.032118055555555546,0.2708333333333333,primary
whatsapp_igr_HM,affect,paired,d_gender,0,NA,NA,primary
whatsapp_igr_HM,affect,paired,d_income,240,0.021354166666666622,0.3958333333333333,primary
whatsapp_igr_HM,affect,paired,h,750,0.016499158227686158,0.3293333333333333,primary
whatsapp_igr_HM,affect,paired,p,640,-0.08613281250000003,0.165625,primary
whatsapp_igr_HM,affect,paired,p_absolute,830,-0.008433734939759083,0.28072289156626506,primary
whatsapp_igr_HM,stereotype_judgment,paired,d_combined,47,0.010638297872340424,0.3829787234042553,primary
whatsapp_igr_HM,stereotype_judgment,paired,d_education,126,-0.026785714285714295,0.2619047619047619,primary
whatsapp_igr_HM,stereotype_judgment,paired,d_gender,0,NA,NA,primary
whatsapp_igr_HM,stereotype_judgment,paired,d_income,184,0.0013586956521739356,0.31521739130434784,primary
whatsapp_igr_HM,stereotype_judgment,paired,h,600,0.010606601717798205,0.30833333333333335,primary
whatsapp_igr_HM,stereotype_judgment,paired,p,0,NA,NA,primary
whatsapp_igr_HM,stereotype_judgment,paired,p_absolute,0,NA,NA,primary
whatsapp_gen_HH,affect,available,d_combined,94,0,0.3404255319148936,primary
whatsapp_gen_HH,affect,available,d_education,206,-0.002427184466019427,0.34951456310679613,primary
whatsapp_gen_HH,affect,available,d_gender,0,NA,NA,primary
whatsapp_gen_HH,affect,available,d_income,388,0.004510309278350507,0.3479381443298969,primary
