key,value,formatted
a1rclimate.policy.available.d_education,0.00964008807005595,0.010
a1rclimate.policy.available.d_income,0.005383312975922136,0.005
a1rclimate.policy.available.d_combined,0.006487374745514521,0.006
a1rclimate.policy.available.p_absolute,0.036789983660668844,0.037
a1rclimate.policy.paired.h,0.02991307667891467,0.030
a1rclimate.policy.paired.p,0.024019739394995177,0.024
a1rclimate.policy.paired.d_gender,0.0012378687510321662,0.001
a1rclimate.policy.paired.d_education,0.00912152330878268,0.009
a1rclimate.policy.paired.d_income,0.0049809711521855374,0.005
a1rclimate.policy.paired.d_combined,0.006010000769075889,0.006
a1rclimate.policy.paired.p_absolute,0.0393452595908963,0.039
celaya.policy.available.h,-0.015039695306280335,-0.015
celaya.policy.available.p,-0.030592991913746634,-0.031
celaya.policy.available.d_gender,-0.010802469135802469,-0.011
celaya.policy.available.d_education,-0.018612637362637362,-0.019
celaya.policy.available.d_income,-0.01680143755615453,-0.017
celaya.policy.available.d_combined,-0.014444444444444442,-0.014
celaya.policy.available.p_absolute,-0.013095238095238096,-0.013
celaya.policy.paired.h,-0.015039695306280335,-0.015
celaya.policy.paired.p,-0.030592991913746634,-0.031
celaya.policy.paired.d_gender,-0.010802469135802469,-0.011
celaya.policy.paired.d_education,-0.018612637362637362,-0.019
celaya.policy.paired.d_income,-0.01680143755615453,-0.017
celaya.policy.paired.d_combined,-0.014444444444444442,-0.014
celaya.policy.paired.p_absolute,-0.013095238095238096,-0.013
uksameparty.policy.available.h,0.050445335170570926,0.050
uksameparty.policy.available.p,0.058858704829449514,0.059
uksameparty.policy.available.d_gender,-0.022165985003408314,-0.022
uksameparty.policy.available.p_absolute,0.05899168355285377,0.059
uksameparty.policy.paired.h,0.05211885710170279,0.052
uksameparty.policy.paired.p,0.06023366261398177,0.060
uksameparty.policy.paired.d_gender,-0.01934156378600824,-0.019
uksameparty.policy.paired.p_absolute,0.060537613981762925,0.061
ukmixedparty.policy.available.h,0.004364887441674871,0.004
ukmixedparty.policy.available.p,-0.01588207094918505,-0.016
ukmixedparty.policy.available.d_gender,-0.009423076923076912,-0.009
ukmixedparty.policy.available.p_absolute,0.016020833333333335,0.016
ukmixedparty.policy.paired.h,0.0052370420347014075,0.005
ukmixedparty.policy.paired.p,-0.012682166826462136,-0.013
ukmixedparty.policy.paired.d_gender,-0.0059737484737484615,-0.006
ukmixedparty.policy.paired.p_absolute,0.014916666666666661,0.015
whatsappgenhh.affect.available.h,0.015232885445774018,0.015
whatsappgenhh.affect.available.p,-0.06929347826086954,-0.069
whatsappgenhh.affect.available.d_education,-0.002427184466019427,-0.002
whatsappgenhh.affect.available.d_income,0.004510309278350507,0.005
whatsappgenhh.affect.available.d_combined,0,0.000
whatsappgenhh.affect.available.p_absolute,0.005429292929292966,0.005
whatsappgenhh.affect.paired.h,0.015232885445774018,0.015
whatsappgenhh.affect.paired.p,-0.0675770308123249,-0.068
whatsappgenhh.affect.paired.d_education,0.0031094527363183847,0.003
whatsappgenhh.affect.paired.d_income,0.014157458563535912,0.014
whatsappgenhh.affect.paired.d_combined,0,0.000
whatsappgenhh.affect.paired.p_absolute,0.007954545454545466,0.008
whatsappgenhh.stereotype_judgment.available.h,-0.001395605489183963,-0.001
whatsappgenhh.stereotype_judgment.available.d_education,-0.022103658536585396,-0.022
whatsappgenhh.stereotype_judgment.available.d_income,-0.001201923076923057,-0.001
whatsappgenhh.stereotype_judgment.available.d_combined,-0.012867647058823532,-0.013
whatsappgenhh.stereotype_judgment.paired.h,-0.001395605489183963,-0.001
whatsappgenhh.stereotype_judgment.paired.d_education,-0.012658227848101245,-0.013
whatsappgenhh.stereotype_judgment.paired.d_income,-0.0012711864406779307,-0.001
whatsappgenhh.stereotype_judgment.paired.d_combined,-0.012867647058823532,-0.013
whatsappgenhm.affect.available.h,0.008838834764831821,0.009
whatsappgenhm.affect.available.p,-0.07757936507936511,-0.078
whatsappgenhm.affect.available.d_education,0.019054878048780498,0.019
whatsappgenhm.affect.available.d_income,0.022036474164133776,0.022
whatsappgenhm.affect.available.d_combined,0.02631578947368419,0.026
whatsappgenhm.affect.available.p_absolute,-7.812499999999369e-4,-0.001
whatsappgenhm.affect.paired.h,0.008838834764831821,0.009
whatsappgenhm.affect.paired.p,-0.08057350565428106,-0.081
whatsappgenhm.affect.paired.d_education,0.00941780821917804,0.009
whatsappgenhm.affect.paired.d_income,0.027640264026402617,0.028
whatsappgenhm.affect.paired.d_combined,0.04123711340206183,0.041
whatsappgenhm.affect.paired.p_absolute,-0.002656249999999987,-0.003
whatsappgenhm.stereotype_judgment.available.h,0.025927248643506734,0.026
whatsappgenhm.stereotype_judgment.available.d_education,0.015625,0.016
whatsappgenhm.stereotype_judgment.available.d_income,0.014622641509433931,0.015
whatsappgenhm.stereotype_judgment.available.d_combined,0.017688679245283025,0.018
whatsappgenhm.stereotype_judgment.paired.h,0.025927248643506734,0.026
whatsappgenhm.stereotype_judgment.paired.d_education,-0.008720930232558134,-0.009
whatsappgenhm.stereotype_judgment.paired.d_income,0.01892430278884461,0.019
whatsappgenhm.stereotype_judgment.paired.d_combined,0.007575757575757583,0.008
whatsappigrhh.affect.available.h,0.012597879434932707,0.013
whatsappigrhh.affect.available.p,-0.0827874818049489,-0.083
whatsappigrhh.affect.available.d_education,0.009308510638297861,0.009
whatsappigrhh.affect.available.d_income,0.00390625,0.004
whatsappigrhh.affect.available.d_combined,-0.0078125,-0.008
whatsappigrhh.affect.available.p_absolute,0.008152173913043494,0.008
whatsappigrhh.affect.paired.h,0.012597879434932707,0.013
whatsappigrhh.affect.paired.p,-0.08731617647058819,-0.087
whatsappigrhh.affect.paired.d_education,0.008426966292134852,0.008
whatsappigrhh.affect.paired.d_income,-4.448398576512396e-4,-0.000
whatsappigrhh.affect.paired.d_combined,-0.0078125,-0.008
whatsappigrhh.affect.paired.p_absolute,0.00679347826086954,0.007
whatsappigrhh.stereotype_judgment.available.h,-0.0015239370284192753,-0.002
whatsappigrhh.stereotype_judgment.available.d_education,-0.03125,-0.031
whatsappigrhh.stereotype_judgment.available.d_income,-0.020042194092826995,-0.020
whatsappigrhh.stereotype_judgment.available.d_combined,0.03125,0.031
whatsappigrhh.stereotype_judgment.paired.h,-0.0015239370284192753,-0.002
whatsappigrhh.stereotype_judgment.paired.d_education,-0.024647887323943646,-0.025
whatsappigrhh.stereotype_judgment.paired.d_income,-0.02127659574468088,-0.021
whatsappigrhh.stereotype_judgment.paired.d_combined,0.03125,0.031
whatsappigrhm.affect.available.h,0.016499158227686158,0.016
whatsappigrhm.affect.available.p,-0.07869664634146335,-0.079
whatsappigrhm.affect.available.d_education,-0.04357142857142855,-0.044
whatsappigrhm.affect.available.d_income,0.013636363636363622,0.014
whatsappigrhm.affect.available.d_combined,-0.022388059701492574,-0.022
whatsappigrhm.affect.available.p_absolute,-0.003915662650602359,-0.004
whatsappigrhm.affect.paired.h,0.016499158227686158,0.016
whatsappigrhm.affect.paired.p,-0.08613281250000003,-0.086
whatsappigrhm.affect.paired.d_education,-0.032118055555555546,-0.032
whatsappigrhm.affect.paired.d_income,0.021354166666666622,0.021
whatsappigrhm.affect.paired.d_combined,0.014423076923076964,0.014
whatsappigrhm.affect.paired.p_absolute,-0.008433734939759083,-0.008
whatsappigrhm.stereotype_judgment.available.h,0.010606601717798205,0.011
whatsappigrhm.stereotype_judgment.available.d_education,-0.0392156862745098,-0.039
whatsappigrhm.stereotype_judgment.available.d_income,-0.004716981132075499,-0.005
whatsappigrhm.stereotype_judgment.available.d_combined,-0.01874999999999998,-0.019
whatsappigrhm.stereotype_judgment.paired.h,0.010606601717798205,0.011
whatsappigrhm.stereotype_judgment.paired.d_education,-0.026785714285714295,-0.027
whatsappigrhm.stereotype_judgment.paired.d_income,0.0013586956521739356,0.001
whatsappigrhm.stereotype_judgment.paired.d_combined,0.010638297872340424,0.011
uscrosspartyconversation.affect.available.h,0.018540842206622322,0.019
uscrosspartyconversation.affect.available.p,-0.015200320512820498,-0.015
uscrosspartyconversation.affect.available.d_gender,-0.002724358974358953,-0.003
uscrosspartyconversation.affect.available.p_absolute,0.01060090702947846,0.011
uscrosspartyconversation.affect.paired.h,0.018540842206622322,0.019
uscrosspartyconversation.affect.paired.p,-0.015200320512820498,-0.015
uscrosspartyconversation.affect.paired.d_gender,-0.002724358974358953,-0.003
uscrosspartyconversation.affect.paired.p_absolute,0.01060090702947846,0.011
consensuspupils.policy.available.h,0.023503081176205243,0.024
consensuspupils.policy.available.d_gender,-0.03570460704607044,-0.036
consensuspupils.policy.paired.h,0.023503081176205243,0.024
consensuspupils.policy.paired.d_gender,-0.03570460704607044,-0.036
consensusstudents.policy.available.h,0.012582772135979706,0.013
consensusstudents.policy.available.p,-0.005630630630630633,-0.006
consensusstudents.policy.available.d_gender,0.0017361111111111201,0.002
consensusstudents.policy.available.p_absolute,0.024136178861788617,0.024
consensusstudents.policy.paired.h,0.012582772135979706,0.013
consensusstudents.policy.paired.p,-0.005630630630630633,-0.006
consensusstudents.policy.paired.d_gender,0.0017361111111111201,0.002
consensusstudents.policy.paired.p_absolute,0.024136178861788617,0.024
diplomacystructured.policy.available.h,0.12884132369112694,0.129
diplomacystructured.policy.available.p,-0.011363636363636357,-0.011
diplomacystructured.policy.available.d_gender,0.01470588235294118,0.015
diplomacystructured.policy.available.p_absolute,0.05246913580246914,0.052
diplomacystructured.policy.paired.h,0.12884132369112694,0.129
diplomacystructured.policy.paired.p,-0.011363636363636357,-0.011
diplomacystructured.policy.paired.d_gender,0.01470588235294118,0.015
diplomacystructured.policy.paired.p_absolute,0.05246913580246914,0.052
diplomacystructured.social_judgment.available.h,0.060217670658965036,0.060
diplomacystructured.social_judgment.available.p,-8.326672684688675e-18,-0.000
diplomacystructured.social_judgment.available.d_gender,-0.05,-0.050
diplomacystructured.social_judgment.available.p_absolute,0.03125,0.031
diplomacystructured.social_judgment.paired.h,0.060217670658965036,0.060
diplomacystructured.social_judgment.paired.p,-8.326672684688675e-18,-0.000
diplomacystructured.social_judgment.paired.d_gender,-0.05,-0.050
diplomacystructured.social_judgment.paired.p_absolute,0.03125,0.031
diplomacyunstructured.policy.available.h,0.0640745442510535,0.064
diplomacyunstructured.policy.available.p,0.04545454545454545,0.045
diplomacyunstructured.policy.available.d_gender,-0.06862745098039216,-0.069
diplomacyunstructured.policy.available.p_absolute,0.08035714285714285,0.080
diplomacyunstructured.policy.paired.h,0.0640745442510535,0.064
diplomacyunstructured.policy.paired.p,0.04545454545454545,0.045
diplomacyunstructured.policy.paired.d_gender,-0.06862745098039216,-0.069
diplomacyunstructured.policy.paired.p_absolute,0.08035714285714285,0.080
diplomacyunstructured.social_judgment.available.h,0.03749375134063141,0.037
diplomacyunstructured.social_judgment.available.p,0,0.000
diplomacyunstructured.social_judgment.available.d_gender,0.027777777777777773,0.028
diplomacyunstructured.social_judgment.available.p_absolute,0.047619047619047616,0.048
diplomacyunstructured.social_judgment.paired.h,0.03749375134063141,0.037
diplomacyunstructured.social_judgment.paired.p,0,0.000
diplomacyunstructured.social_judgment.paired.d_gender,0.027777777777777773,0.028
diplomacyunstructured.social_judgment.paired.p_absolute,0.047619047619047616,0.048
shizuoka.belief.available.h,0.022269624090187994,0.022
shizuoka.belief.available.p,0.02636054421768707,0.026
shizuoka.belief.available.d_gender,-0.0621031746031746,-0.062
shizuoka.belief.available.d_education,-0.01438492063492064,-0.014
shizuoka.belief.available.p_absolute,0.03478422619047618,0.035
shizuoka.belief.paired.h,0.020608010709928862,0.021
shizuoka.belief.paired.p,0.028273809523809524,0.028
shizuoka.belief.paired.d_gender,-0.04871031746031745,-0.049
shizuoka.belief.paired.d_education,-0.016059027777777787,-0.016
shizuoka.belief.paired.p_absolute,0.03645833333333333,0.036
shizuoka.policy.available.h,0.007147592832535148,0.007
shizuoka.policy.available.p,-0.016165547415547408,-0.016
shizuoka.policy.available.d_gender,-0.005734823169033693,-0.006
shizuoka.policy.available.d_education,0.027447089947089935,0.027
shizuoka.policy.available.p_absolute,0.007068452380952402,0.007
shizuoka.policy.paired.h,0.007736137684510636,0.008
shizuoka.policy.paired.p,-0.014448514448514442,-0.014
shizuoka.policy.paired.d_gender,-0.0046383319409635144,-0.005
shizuoka.policy.paired.d_education,0.027089947089947095,0.027
shizuoka.policy.paired.p_absolute,0.009188988095238111,0.009
correctedoriginal.components.policy.combined.ext_adv,-0.06194972753295752,-0.062
correctedoriginal.components.policy.combined.ext_dis,0.029751882361977726,0.030
correctedoriginal.components.policy.combined.ext_grp,0.013983383950957108,0.014
correctedoriginal.components.policy.education.ext_adv,-0.02809273602770006,-0.028
correctedoriginal.components.policy.education.ext_dis,0.05236275998543151,0.052
correctedoriginal.components.policy.education.ext_grp,0.01107427032423586,0.011
correctedoriginal.components.policy.gender.ext_adv,-0.0354884061801681,-0.035
correctedoriginal.components.policy.gender.ext_dis,0.03933674714010663,0.039
correctedoriginal.components.policy.gender.ext_grp,0.0019169913027719183,0.002
correctedoriginal.components.policy.income.ext_adv,-0.03282787920553378,-0.033
correctedoriginal.components.policy.income.ext_dis,0.051803459083315066,0.052
correctedoriginal.components.policy.income.ext_grp,0.002937421993993166,0.003
a1r2019.components.policy.gender.ext_adv,-0.035415437234109656,-0.035
a1r2019.components.policy.gender.ext_dis,0.05119757438699694,0.051
a1r2019.components.policy.gender.ext_grp,0.006968575587032129,0.007
ourbudgetoureconomy.components.policy.combined.ext_adv,-0.06601595298068849,-0.066
ourbudgetoureconomy.components.policy.combined.ext_dis,0.021079156989106614,0.021
ourbudgetoureconomy.components.policy.combined.ext_grp,-0.004426552316980521,-0.004
ourbudgetoureconomy.components.policy.education.ext_adv,-0.0524726501451217,-0.052
ourbudgetoureconomy.components.policy.education.ext_dis,0.04744987188892083,0.047
ourbudgetoureconomy.components.policy.education.ext_grp,0.0025259411645881732,0.003
ourbudgetoureconomy.components.policy.gender.ext_adv,-0.05233180991694923,-0.052
ourbudgetoureconomy.components.policy.gender.ext_dis,0.06797262764755026,0.068
ourbudgetoureconomy.components.policy.gender.ext_grp,0.0051356946287286435,0.005
ourbudgetoureconomy.components.policy.income.ext_adv,-0.05423636480164069,-0.054
ourbudgetoureconomy.components.policy.income.ext_dis,0.05951960360187142,0.060
ourbudgetoureconomy.components.policy.income.ext_grp,0.005872601956888651,0.006
tanzania.components.policy.gender.ext_adv,-0.09055121887568696,-0.091
tanzania.components.policy.gender.ext_dis,0.07418266435191001,0.074
tanzania.components.policy.gender.ext_grp,-0.005371478403393303,-0.005
a1rclimate.components.environmental_concern.combined.ext_adv,-0.06663809523809523,-0.067
a1rclimate.components.policy.combined.ext_adv,-0.08402887856427084,-0.084
a1rclimate.components.climate_belief.combined.ext_adv,-0.06378985507246378,-0.064
a1rclimate.components.environmental_concern.combined.ext_dis,0.025222629004981942,0.025
a1rclimate.components.policy.combined.ext_dis,0.023761027953731678,0.024
a1rclimate.components.climate_belief.combined.ext_dis,0.02829523013218666,0.028
a1rclimate.components.environmental_concern.combined.ext_grp,0.009042162599305459,0.009
a1rclimate.components.policy.combined.ext_grp,0.006010000769075888,0.006
a1rclimate.components.climate_belief.combined.ext_grp,0.013474754217081579,0.013
a1rclimate.components.environmental_concern.education.ext_adv,-0.04951785714285714,-0.050
a1rclimate.components.policy.education.ext_adv,-0.06364141157900674,-0.064
a1rclimate.components.climate_belief.education.ext_adv,-0.02602393617021277,-0.026
a1rclimate.components.environmental_concern.education.ext_dis,0.040793328695114414,0.041
a1rclimate.components.policy.education.ext_dis,0.032618380783018014,0.033
a1rclimate.components.climate_belief.education.ext_dis,0.03473371929488951,0.035
a1rclimate.components.environmental_concern.education.ext_grp,0.01959977003621962,0.020
a1rclimate.components.policy.education.ext_grp,0.009121523308782674,0.009
a1rclimate.components.climate_belief.education.ext_grp,0.01886907790009323,0.019
a1rclimate.components.environmental_concern.gender.ext_adv,-0.041041858678955455,-0.041
a1rclimate.components.policy.gender.ext_adv,-0.04763122335984531,-0.048
a1rclimate.components.climate_belief.gender.ext_adv,-0.030134174131698895,-0.030
a1rclimate.components.environmental_concern.gender.ext_dis,0.02388957816377173,0.024
a1rclimate.components.policy.gender.ext_dis,0.045585308519021185,0.046
a1rclimate.components.climate_belief.gender.ext_dis,0.02692002442002443,0.027
a1rclimate.components.environmental_concern.gender.ext_grp,-0.002929909801351928,-0.003
a1rclimate.components.policy.gender.ext_grp,0.0012378687510321356,0.001
a1rclimate.components.climate_belief.gender.ext_grp,0.0010043622534522314,0.001
a1rclimate.components.environmental_concern.income.ext_adv,-0.024970372157872168,-0.025
a1rclimate.components.policy.income.ext_adv,-0.04404837176549045,-0.044
a1rclimate.components.climate_belief.income.ext_adv,-0.02566969296135963,-0.026
a1rclimate.components.environmental_concern.income.ext_dis,0.036872989060489046,0.037
a1rclimate.components.policy.income.ext_dis,0.04134223056036824,0.041
a1rclimate.components.climate_belief.income.ext_dis,0.033976498389377184,0.034
a1rclimate.components.environmental_concern.income.ext_grp,0.012782972470472477,0.013
a1rclimate.components.policy.income.ext_grp,0.004980971152185538,0.005
a1rclimate.components.climate_belief.income.ext_grp,0.00960326221856971,0.010
celaya.components.policy.combined.ext_adv,-0.10833333333333331,-0.108
celaya.components.policy.combined.ext_dis,-0.003571428571428577,-0.004
celaya.components.policy.combined.ext_grp,-0.014444444444444442,-0.014
celaya.components.policy.education.ext_adv,-0.10976419413919415,-0.110
celaya.components.policy.education.ext_dis,0.01213213869463869,0.012
celaya.components.policy.education.ext_grp,-0.018612637362637362,-0.019
celaya.components.policy.gender.ext_adv,-0.08684781011169901,-0.087
celaya.components.policy.gender.ext_dis,0.03384589947089948,0.034
celaya.components.policy.gender.ext_grp,-0.010802469135802469,-0.011
celaya.components.policy.income.ext_adv,-0.07255166217430367,-0.073
celaya.components.policy.income.ext_dis,0.024371069182389942,0.024
celaya.components.policy.income.ext_grp,-0.01680143755615453,-0.017
uksameparty.components.policy.gender.ext_adv,-0.05366696061140507,-0.054
uksameparty.components.policy.gender.ext_dis,0.013196649029982362,0.013
uksameparty.components.policy.gender.ext_grp,-0.019341563786008233,-0.019
ukmixedparty.components.policy.gender.ext_adv,-0.03851495726495728,-0.039
ukmixedparty.components.policy.gender.ext_dis,0.026688034188034174,0.027
ukmixedparty.components.policy.gender.ext_grp,-0.005973748473748472,-0.006
whatsappgenhh.components.affect.combined.ext_adv,-0.09574468085106384,-0.096
whatsappgenhh.components.stereotype_judgment.combined.ext_adv,-0.12867647058823528,-0.129
whatsappgenhh.components.affect.combined.ext_dis,0.09574468085106384,0.096
whatsappgenhh.components.stereotype_judgment.combined.ext_dis,0.10294117647058823,0.103
whatsappgenhh.components.affect.combined.ext_grp,0,0.000
whatsappgenhh.components.stereotype_judgment.combined.ext_grp,-0.012867647058823522,-0.013
whatsappgenhh.components.affect.education.ext_adv,-0.1082089552238806,-0.108
whatsappgenhh.components.stereotype_judgment.education.ext_adv,-0.12658227848101267,-0.127
whatsappgenhh.components.affect.education.ext_dis,0.11442786069651743,0.114
whatsappgenhh.components.stereotype_judgment.education.ext_dis,0.10126582278481013,0.101
whatsappgenhh.components.affect.education.ext_grp,0.003109452736318375,0.003
whatsappgenhh.components.stereotype_judgment.education.ext_grp,-0.012658227848101266,-0.013
whatsappgenhh.components.affect.income.ext_adv,-0.09392265193370163,-0.094
whatsappgenhh.components.stereotype_judgment.income.ext_adv,-0.09661016949152544,-0.097
whatsappgenhh.components.affect.income.ext_dis,0.12223756906077349,0.122
whatsappgenhh.components.stereotype_judgment.income.ext_dis,0.09406779661016952,0.094
whatsappgenhh.components.affect.income.ext_grp,0.014157458563535874,0.014
whatsappgenhh.components.stereotype_judgment.income.ext_grp,-0.001271186440677934,-0.001
whatsappgenhm.components.affect.combined.ext_adv,-0.0695876288659794,-0.070
whatsappgenhm.components.stereotype_judgment.combined.ext_adv,-0.1085858585858586,-0.109
whatsappgenhm.components.affect.combined.ext_dis,0.15206185567010314,0.152
whatsappgenhm.components.stereotype_judgment.combined.ext_dis,0.12373737373737376,0.124
whatsappgenhm.components.affect.combined.ext_grp,0.04123711340206184,0.041
whatsappgenhm.components.stereotype_judgment.combined.ext_grp,0.007575757575757583,0.008
whatsappgenhm.components.affect.education.ext_adv,-0.0684931506849315,-0.068
whatsappgenhm.components.stereotype_judgment.education.ext_adv,-0.12984496124031009,-0.130
whatsappgenhm.components.affect.education.ext_dis,0.0873287671232877,0.087
whatsappgenhm.components.stereotype_judgment.education.ext_dis,0.11240310077519382,0.112
whatsappgenhm.components.affect.education.ext_grp,0.009417808219178089,0.009
whatsappgenhm.components.stereotype_judgment.education.ext_grp,-0.008720930232558127,-0.009
whatsappgenhm.components.affect.income.ext_adv,-0.08993399339933994,-0.090
whatsappgenhm.components.stereotype_judgment.income.ext_adv,-0.10657370517928286,-0.107
whatsappgenhm.components.affect.income.ext_dis,0.14521452145214525,0.145
whatsappgenhm.components.stereotype_judgment.income.ext_dis,0.1444223107569721,0.144
whatsappgenhm.components.affect.income.ext_grp,0.027640264026402652,0.028
whatsappgenhm.components.stereotype_judgment.income.ext_grp,0.018924302788844632,0.019
whatsappigrhh.components.affect.combined.ext_adv,-0.078125,-0.078
whatsappigrhh.components.stereotype_judgment.combined.ext_adv,-0.04166666666666667,-0.042
whatsappigrhh.components.affect.combined.ext_dis,0.0625,0.062
whatsappigrhh.components.stereotype_judgment.combined.ext_dis,0.10416666666666666,0.104
whatsappigrhh.components.affect.combined.ext_grp,-0.0078125,-0.008
whatsappigrhh.components.stereotype_judgment.combined.ext_grp,0.03125,0.031
whatsappigrhh.components.affect.education.ext_adv,-0.10955056179775283,-0.110
whatsappigrhh.components.stereotype_judgment.education.ext_adv,-0.15845070422535215,-0.158
whatsappigrhh.components.affect.education.ext_dis,0.12640449438202248,0.126
whatsappigrhh.components.stereotype_judgment.education.ext_dis,0.10915492957746481,0.109
whatsappigrhh.components.affect.education.ext_grp,0.008426966292134847,0.008
whatsappigrhh.components.stereotype_judgment.education.ext_grp,-0.024647887323943657,-0.025
whatsappigrhh.components.affect.income.ext_adv,-0.11209964412811385,-0.112
whatsappigrhh.components.stereotype_judgment.income.ext_adv,-0.10957446808510636,-0.110
whatsappigrhh.components.affect.income.ext_dis,0.11120996441281128,0.111
whatsappigrhh.components.stereotype_judgment.income.ext_dis,0.06702127659574465,0.067
whatsappigrhh.components.affect.income.ext_grp,-4.448398576511857e-4,-0.000
