event_id,family_id,format,construct,membership,metric,pairs,mean,positive_fraction
diplomacy_experimental,diplomacy_2020,triadic_structured_discussion,social_judgment,paired,p,0,NA,NA
diplomacy_experimental,diplomacy_2020,triadic_structured_discussion,social_judgment,paired,p_absolute,0,NA,NA
echo_con,echo_2021,partisan_discussion,policy,paired,d_combined,0,NA,NA
echo_con,echo_2021,partisan_discussion,policy,paired,d_education,0,NA,NA
echo_con,echo_2021,partisan_discussion,policy,paired,d_gender,56,0.0011352040816326565,0.5178571428571429
echo_con,echo_2021,partisan_discussion,policy,paired,d_income,0,NA,NA
echo_con,echo_2021,partisan_discussion,policy,paired,h,72,0.02737420204663652,0.6666666666666666
echo_con,echo_2021,partisan_discussion,policy,paired,p,72,0.006455026455026453,0.5277777777777778
echo_con,echo_2021,partisan_discussion,policy,paired,p_absolute,72,0.007248677248677245,0.5416666666666666
echo_lab,echo_2021,partisan_discussion,policy,paired,d_combined,0,NA,NA
echo_lab,echo_2021,partisan_discussion,policy,paired,d_education,0,NA,NA
echo_lab,echo_2021,partisan_discussion,policy,paired,d_gender,106,-0.030159478885893987,0.3867924528301887
echo_lab,echo_2021,partisan_discussion,policy,paired,d_income,0,NA,NA
echo_lab,echo_2021,partisan_discussion,policy,paired,h,112,0.06736214174363997,0.7946428571428571
echo_lab,echo_2021,partisan_discussion,policy,paired,p,112,0.09517113095238096,0.9107142857142857
echo_lab,echo_2021,partisan_discussion,policy,paired,p_absolute,112,0.09517113095238096,0.9107142857142857
echo_mixed,echo_2021,mixed_partisan_discussion,policy,paired,d_combined,0,NA,NA
echo_mixed,echo_2021,mixed_partisan_discussion,policy,paired,d_education,0,NA,NA
echo_mixed,echo_2021,mixed_partisan_discussion,policy,paired,d_gender,156,-0.0059737484737484615,0.4166666666666667
echo_mixed,echo_2021,mixed_partisan_discussion,policy,paired,d_income,0,NA,NA
echo_mixed,echo_2021,mixed_partisan_discussion,policy,paired,h,160,0.0052370420347014075,0.54375
echo_mixed,echo_2021,mixed_partisan_discussion,policy,paired,p,149,-0.012682166826462136,0.40268456375838924
echo_mixed,echo_2021,mixed_partisan_discussion,policy,paired,p_absolute,160,0.014916666666666661,0.525
hongkong_deliberation,hongkong_2020,facilitated_discussion,policy,paired,d_combined,0,NA,NA
hongkong_deliberation,hongkong_2020,facilitated_discussion,policy,paired,d_education,0,NA,NA
hongkong_deliberation,hongkong_2020,facilitated_discussion,policy,paired,d_gender,0,NA,NA
hongkong_deliberation,hongkong_2020,facilitated_discussion,policy,paired,d_income,0,NA,NA
hongkong_deliberation,hongkong_2020,facilitated_discussion,policy,paired,h,1,-0.14461132959494832,0
hongkong_deliberation,hongkong_2020,facilitated_discussion,policy,paired,p,1,0,0
hongkong_deliberation,hongkong_2020,facilitated_discussion,policy,paired,p_absolute,1,0,0
hongkong_discussion,hongkong_2020,casual_discussion,policy,paired,d_combined,0,NA,NA
hongkong_discussion,hongkong_2020,casual_discussion,policy,paired,d_education,0,NA,NA
hongkong_discussion,hongkong_2020,casual_discussion,policy,paired,d_gender,0,NA,NA
hongkong_discussion,hongkong_2020,casual_discussion,policy,paired,d_income,0,NA,NA
hongkong_discussion,hongkong_2020,casual_discussion,policy,paired,h,1,-0.04034096487552652,0
hongkong_discussion,hongkong_2020,casual_discussion,policy,paired,p,0,NA,NA
hongkong_discussion,hongkong_2020,casual_discussion,policy,paired,p_absolute,1,0.033333333333333326,1
oboe_1,oboe_2010,town_meeting,policy,paired,d_combined,17,-0.016596638655462185,0.35294117647058826
oboe_1,oboe_2010,town_meeting,policy,paired,d_education,54,0.01335427689594357,0.46296296296296297
oboe_1,oboe_2010,town_meeting,policy,paired,d_gender,35,0.017610544217687082,0.5142857142857142
oboe_1,oboe_2010,town_meeting,policy,paired,d_income,40,-0.023750000000000014,0.425
oboe_1,oboe_2010,town_meeting,policy,paired,h,54,0.02389402414300319,0.5370370370370371
oboe_1,oboe_2010,town_meeting,policy,paired,p,50,0.0026388888888888963,0.5
oboe_1,oboe_2010,town_meeting,policy,paired,p_absolute,54,0.0459729570840682,0.6111111111111112
oboe_10,oboe_2010,town_meeting,policy,paired,d_combined,21,0.00941043083900226,0.5714285714285714
oboe_10,oboe_2010,town_meeting,policy,paired,d_education,39,-0.009004884004884016,0.48717948717948717
oboe_10,oboe_2010,town_meeting,policy,paired,d_gender,40,-0.06029761904761905,0.3
oboe_10,oboe_2010,town_meeting,policy,paired,d_income,35,0.015340136054421768,0.42857142857142855
oboe_10,oboe_2010,town_meeting,policy,paired,h,42,0.007282563448509698,0.47619047619047616
oboe_10,oboe_2010,town_meeting,policy,paired,p,39,-0.025030525030525025,0.4358974358974359
oboe_10,oboe_2010,town_meeting,policy,paired,p_absolute,42,0.034608843537414974,0.5714285714285714
oboe_11,oboe_2010,town_meeting,policy,paired,d_combined,0,NA,NA
oboe_11,oboe_2010,town_meeting,policy,paired,d_education,0,NA,NA
oboe_11,oboe_2010,town_meeting,policy,paired,d_gender,29,-0.028048029556650235,0.20689655172413793
oboe_11,oboe_2010,town_meeting,policy,paired,d_income,23,0.018012422360248446,0.34782608695652173
oboe_11,oboe_2010,town_meeting,policy,paired,h,39,0.0011761225343896852,0.46153846153846156
oboe_11,oboe_2010,town_meeting,policy,paired,p,38,-0.007761591478696745,0.42105263157894735
oboe_11,oboe_2010,town_meeting,policy,paired,p_absolute,39,0.02854853479853479,0.5128205128205128
oboe_13,oboe_2010,town_meeting,policy,paired,d_combined,6,-0.04166666666666668,0.3333333333333333
oboe_13,oboe_2010,town_meeting,policy,paired,d_education,28,-0.017644557823129244,0.42857142857142855
oboe_13,oboe_2010,town_meeting,policy,paired,d_gender,12,-0.07410714285714284,0.25
oboe_13,oboe_2010,town_meeting,policy,paired,d_income,26,0.04861492673992674,0.5769230769230769
oboe_13,oboe_2010,town_meeting,policy,paired,h,36,-0.02189473149283563,0.3333333333333333
oboe_13,oboe_2010,town_meeting,policy,paired,p,35,-0.07346938775510205,0.34285714285714286
oboe_13,oboe_2010,town_meeting,policy,paired,p_absolute,36,0.009589947089947082,0.5
oboe_14,oboe_2010,town_meeting,policy,paired,d_combined,0,NA,NA
oboe_14,oboe_2010,town_meeting,policy,paired,d_education,0,NA,NA
oboe_14,oboe_2010,town_meeting,policy,paired,d_gender,22,0.026623376623376622,0.5454545454545454
oboe_14,oboe_2010,town_meeting,policy,paired,d_income,21,0.009523809523809526,0.42857142857142855
oboe_14,oboe_2010,town_meeting,policy,paired,h,36,0.013062148092690231,0.4722222222222222
oboe_14,oboe_2010,town_meeting,policy,paired,p,34,0.0051820728291316525,0.47058823529411764
oboe_14,oboe_2010,town_meeting,policy,paired,p_absolute,36,0.028439153439153434,0.5
oboe_15,oboe_2010,town_meeting,policy,paired,d_combined,4,-0.1,0
oboe_15,oboe_2010,town_meeting,policy,paired,d_education,44,0.012040043290043287,0.5227272727272727
oboe_15,oboe_2010,town_meeting,policy,paired,d_gender,4,-0.024999999999999994,0.25
oboe_15,oboe_2010,town_meeting,policy,paired,d_income,58,-0.013880336617405575,0.41379310344827586
oboe_15,oboe_2010,town_meeting,policy,paired,h,59,0.006104312028406261,0.4915254237288136
oboe_15,oboe_2010,town_meeting,policy,paired,p,57,-0.034757031467557785,0.3157894736842105
oboe_15,oboe_2010,town_meeting,policy,paired,p_absolute,59,0.006835149313962874,0.4067796610169492
oboe_16,oboe_2010,town_meeting,policy,paired,d_combined,22,0.003409090909090895,0.45454545454545453
oboe_16,oboe_2010,town_meeting,policy,paired,d_education,56,0.0015624999999999853,0.4107142857142857
oboe_16,oboe_2010,town_meeting,policy,paired,d_gender,50,0.038833333333333324,0.58
oboe_16,oboe_2010,town_meeting,policy,paired,d_income,43,-0.025802879291251392,0.3023255813953488
oboe_16,oboe_2010,town_meeting,policy,paired,h,59,-0.006654553835132064,0.423728813559322
oboe_16,oboe_2010,town_meeting,policy,paired,p,53,-0.01776729559748428,0.3018867924528302
oboe_16,oboe_2010,town_meeting,policy,paired,p_absolute,59,0.005609362389023404,0.3728813559322034
oboe_17,oboe_2010,town_meeting,policy,paired,d_combined,12,0.013194444444444427,0.6666666666666666
oboe_17,oboe_2010,town_meeting,policy,paired,d_education,22,0.02689393939393938,0.6818181818181818
oboe_17,oboe_2010,town_meeting,policy,paired,d_gender,19,0.05350877192982457,0.47368421052631576
oboe_17,oboe_2010,town_meeting,policy,paired,d_income,17,0.024019607843137246,0.6470588235294118
oboe_17,oboe_2010,town_meeting,policy,paired,h,23,0.01431711940017095,0.43478260869565216
oboe_17,oboe_2010,town_meeting,policy,paired,p,17,0.013235294117647045,0.5882352941176471
oboe_17,oboe_2010,town_meeting,policy,paired,p_absolute,23,0.09094202898550724,0.782608695652174
oboe_18,oboe_2010,town_meeting,policy,paired,d_combined,14,-0.01224489795918366,0.35714285714285715
oboe_18,oboe_2010,town_meeting,policy,paired,d_education,136,0.004002538515406165,0.45588235294117646
oboe_18,oboe_2010,town_meeting,policy,paired,d_gender,39,-0.0035866910866910904,0.38461538461538464
oboe_18,oboe_2010,town_meeting,policy,paired,d_income,100,0.031845238095238086,0.5
oboe_18,oboe_2010,town_meeting,policy,paired,h,164,0.005268214343146605,0.4268292682926829
oboe_18,oboe_2010,town_meeting,policy,paired,p,158,-0.02167156419529837,0.4050632911392405
oboe_18,oboe_2010,town_meeting,policy,paired,p_absolute,164,0.02469330720092915,0.5
oboe_19,oboe_2010,town_meeting,policy,paired,d_combined,6,0.05,0.6666666666666666
oboe_19,oboe_2010,town_meeting,policy,paired,d_education,48,0.02256944444444445,0.5208333333333334
oboe_19,oboe_2010,town_meeting,policy,paired,d_gender,11,0.02727272727272727,0.5454545454545454
oboe_19,oboe_2010,town_meeting,policy,paired,d_income,43,-0.002906976744186042,0.4418604651162791
oboe_19,oboe_2010,town_meeting,policy,paired,h,69,0.002205368132994861,0.43478260869565216
oboe_19,oboe_2010,town_meeting,policy,paired,p,66,-0.027904040404040407,0.3484848484848485
oboe_19,oboe_2010,town_meeting,policy,paired,p_absolute,69,0.021135265700483095,0.4492753623188406
oboe_20,oboe_2010,town_meeting,policy,paired,d_combined,0,NA,NA
oboe_20,oboe_2010,town_meeting,policy,paired,d_education,166,-0.011862927902084519,0.42771084337349397
oboe_20,oboe_2010,town_meeting,policy,paired,d_gender,0,NA,NA
oboe_20,oboe_2010,town_meeting,policy,paired,d_income,136,0.02278244631185807,0.49264705882352944
oboe_20,oboe_2010,town_meeting,policy,paired,h,178,0.003105656174694475,0.4606741573033708
oboe_20,oboe_2010,town_meeting,policy,paired,p,159,-0.006180742737346508,0.44025157232704404
oboe_20,oboe_2010,town_meeting,policy,paired,p_absolute,178,0.039622904405207764,0.550561797752809
oboe_21,oboe_2010,town_meeting,policy,paired,d_combined,22,0.009695165945165939,0.4090909090909091
oboe_21,oboe_2010,town_meeting,policy,paired,d_education,149,-0.010237562586555882,0.4161073825503356
oboe_21,oboe_2010,town_meeting,policy,paired,d_gender,38,-0.007001879699248107,0.34210526315789475
oboe_21,oboe_2010,town_meeting,policy,paired,d_income,102,0.015989729225023334,0.46078431372549017
oboe_21,oboe_2010,town_meeting,policy,paired,h,169,0.024113665817488705,0.5325443786982249
oboe_21,oboe_2010,town_meeting,policy,paired,p,151,0.007819562703668655,0.46357615894039733
oboe_21,oboe_2010,town_meeting,policy,paired,p_absolute,169,0.04403763971071664,0.5621301775147929
oboe_22,oboe_2010,town_meeting,policy,paired,d_combined,16,0.06376488095238095,0.625
oboe_22,oboe_2010,town_meeting,policy,paired,d_education,50,0.0013809523809523625,0.38
oboe_22,oboe_2010,town_meeting,policy,paired,d_gender,44,0.020616883116883113,0.45454545454545453
oboe_22,oboe_2010,town_meeting,policy,paired,d_income,54,0.02788800705467372,0.5370370370370371
oboe_22,oboe_2010,town_meeting,policy,paired,h,57,-0.0011303055571505953,0.3684210526315789
oboe_22,oboe_2010,town_meeting,policy,paired,p,54,-0.0020612874779541443,0.4074074074074074
oboe_22,oboe_2010,town_meeting,policy,paired,p_absolute,57,0.0382779866332498,0.5087719298245614
oboe_24,oboe_2010,town_meeting,policy,paired,d_combined,20,-0.011250000000000001,0.45
oboe_24,oboe_2010,town_meeting,policy,paired,d_education,24,0.0329861111111111,0.5
oboe_24,oboe_2010,town_meeting,policy,paired,d_gender,27,-0.005555555555555562,0.4074074074074074
oboe_24,oboe_2010,town_meeting,policy,paired,d_income,27,-0.03395061728395063,0.37037037037037035
oboe_24,oboe_2010,town_meeting,policy,paired,h,28,0.01583565470194305,0.5357142857142857
oboe_24,oboe_2010,town_meeting,policy,paired,p,27,-0.02134038800705467,0.4074074074074074
oboe_24,oboe_2010,town_meeting,policy,paired,p_absolute,28,0.037542517006802716,0.5714285714285714
oboe_27,oboe_2010,town_meeting,policy,paired,d_combined,0,NA,NA
oboe_27,oboe_2010,town_meeting,policy,paired,d_education,23,0.034459109730848855,0.43478260869565216
oboe_27,oboe_2010,town_meeting,policy,paired,d_gender,23,0.0032996894409938063,0.4782608695652174
oboe_27,oboe_2010,town_meeting,policy,paired,d_income,23,0.036115424430641835,0.4782608695652174
oboe_27,oboe_2010,town_meeting,policy,paired,h,24,0.008954825539777184,0.5
oboe_27,oboe_2010,town_meeting,policy,paired,p,24,-0.02139136904761905,0.3333333333333333
oboe_27,oboe_2010,town_meeting,policy,paired,p_absolute,24,0.003782242063492059,0.375
oboe_5,oboe_2010,town_meeting,policy,paired,d_combined,76,-0.019227756892230583,0.4605263157894737
oboe_5,oboe_2010,town_meeting,policy,paired,d_education,156,0.002256308506308498,0.46153846153846156
oboe_5,oboe_2010,town_meeting,policy,paired,d_gender,165,0.008496272246272245,0.4666666666666667
oboe_5,oboe_2010,town_meeting,policy,paired,d_income,153,-0.004566085693536672,0.45098039215686275
oboe_5,oboe_2010,town_meeting,policy,paired,h,178,-0.012365095423903788,0.43258426966292135
oboe_5,oboe_2010,town_meeting,policy,paired,p,169,-0.028115314173006473,0.3668639053254438
oboe_5,oboe_2010,town_meeting,policy,paired,p_absolute,178,0.01029015070447654,0.449438202247191
oboe_6,oboe_2010,town_meeting,policy,paired,d_combined,18,-0.009722222222222226,0.3888888888888889
oboe_6,oboe_2010,town_meeting,policy,paired,d_education,40,-0.0431547619047619,0.35
oboe_6,oboe_2010,town_meeting,policy,paired,d_gender,36,0.00800264550264549,0.4166666666666667
oboe_6,oboe_2010,town_meeting,policy,paired,d_income,28,-0.019345238095238092,0.39285714285714285
oboe_6,oboe_2010,town_meeting,policy,paired,h,41,0.001040829489818712,0.43902439024390244
oboe_6,oboe_2010,town_meeting,policy,paired,p,37,-0.017342342342342353,0.4594594594594595
oboe_6,oboe_2010,town_meeting,policy,paired,p_absolute,41,0.029384436701509874,0.5365853658536586
oboe_7,oboe_2010,town_meeting,policy,paired,d_combined,24,-0.022858796296296297,0.375
oboe_7,oboe_2010,town_meeting,policy,paired,d_education,49,-0.0016298185941043008,0.40816326530612246
oboe_7,oboe_2010,town_meeting,policy,paired,d_gender,30,0.025909391534391528,0.5333333333333333
oboe_7,oboe_2010,town_meeting,policy,paired,d_income,38,-0.020321637426900584,0.42105263157894735
oboe_7,oboe_2010,town_meeting,policy,paired,h,52,0.01140644893784483,0.5
oboe_7,oboe_2010,town_meeting,policy,paired,p,51,0.018341503267973853,0.5490196078431373
oboe_7,oboe_2010,town_meeting,policy,paired,p_absolute,52,0.056614392551892545,0.6346153846153846
oboe_8,oboe_2010,town_meeting,policy,paired,d_combined,12,0.04861111111111111,0.6666666666666666
oboe_8,oboe_2010,town_meeting,policy,paired,d_education,46,0.02038043478260869,0.5652173913043478
oboe_8,oboe_2010,town_meeting,policy,paired,d_gender,46,0.012292960662525868,0.45652173913043476
oboe_8,oboe_2010,town_meeting,policy,paired,d_income,31,0.012384792626728114,0.5161290322580645
oboe_8,oboe_2010,town_meeting,policy,paired,h,54,0.01916155571684242,0.5925925925925926
