comparison,construct,membership,metric,family_id,mean,positive_fraction,pairs,studies,remaining_families,mean_without_family
Original DPs,policy,paired,d_income,13,-0.002699482595930797,0.46296296296296297,216,1,10,0.006574906573656054
Original DPs,policy,paired,d_income,15,0.01243843846407934,0.5888888888888889,90,1,10,0.005061114467655041
Original DPs,policy,paired,d_income,17,-0.025241126973371674,0.4583333333333333,96,1,10,0.008829071011400142
Original DPs,policy,paired,d_income,2,0.007254556917618339,0.5271317829457365,129,1,10,0.005579502622301141
Original DPs,policy,paired,d_income,4,0.01751844854423336,0.5833333333333334,60,1,10,0.004553113459639639
Original DPs,policy,paired,d_income,5,0.010063147902821758,0.4782608695652174,46,1,10,0.0052986435237807996
Original DPs,policy,paired,d_income,8,-0.004061237547851208,0.5208333333333334,96,1,10,0.006711082068848096
Original DPs,policy,paired,d_income,10,0.01142682295741521,0.4635416666666667,192,1,10,0.005162276018321454
Original DPs,policy,paired,d_income,16,-0.02233339334561657,0.375,48,1,10,0.008538297648624632
Original DPs,policy,paired,d_income,14,0.0037329962594374005,0.5074626865671642,134,1,10,0.0059316586881192354
Original DPs,policy,paired,d_combined,12,0.022380070681629317,0.5909090909090909,22,1,10,0.015274582726187345
Original DPs,policy,paired,d_combined,13,0.007624201449002651,0.49029126213592233,206,1,10,0.01675016964945001
Original DPs,policy,paired,d_combined,15,0.006640186902070166,0.5,90,1,10,0.01684857110414326
Original DPs,policy,paired,d_combined,17,0.011917445916300935,0.5068493150684932,73,1,10,0.01632084520272018
Original DPs,policy,paired,d_combined,2,-0.007987534212508725,0.46534653465346537,101,1,10,0.01831134321560115
Original DPs,policy,paired,d_combined,4,0.023036707902550364,0.5892857142857143,56,1,10,0.01520891900409524
Original DPs,policy,paired,d_combined,5,0.06215946861780198,0.6,45,1,10,0.011296642932570078
Original DPs,policy,paired,d_combined,8,0.00895825682692155,0.5333333333333333,90,1,10,0.01661676411165812
Original DPs,policy,paired,d_combined,10,0.04113245208238702,0.5619834710743802,121,1,10,0.013399344586111573
Original DPs,policy,paired,d_combined,16,-0.013609195026253167,0.4772727272727273,44,1,10,0.01887350929697559
Original DPs,policy,paired,d_combined,14,0.012873836803600625,0.5403225806451613,124,1,10,0.016225206113990212
Original DPs,policy,available,d_gender,12,0.04385075854366106,0.59375,32,1,20,0.003343607369517296
Original DPs,policy,available,d_gender,13,1.565999690629941e-5,0.4688995215311005,209,1,20,0.005535362296855034
Original DPs,policy,available,d_gender,20,-0.0035209493973200052,0.4053030303030303,264,1,20,0.005712192766566349
Original DPs,policy,available,d_gender,15,0.013616770964861481,0.5111111111111111,90,1,20,0.004855306748457275
Original DPs,policy,available,d_gender,17,-5.702716866557405e-4,0.48484848484848486,99,1,20,0.005564658881033136
Original DPs,policy,available,d_gender,18,0.0030241300607274577,0.5092592592592593,324,1,20,0.005384938793663976
Original DPs,policy,available,d_gender,1,0.013751530178830941,0.532258064516129,62,1,20,0.004848568787758802
Original DPs,policy,available,d_gender,2,-0.016497568632409396,0.40601503759398494,133,1,20,0.006361023728320819
Original DPs,policy,available,d_gender,3,-0.004631238457678944,0.45,60,1,20,0.0057677072195842964
Original DPs,policy,available,d_gender,4,0.00598550782745884,0.5333333333333333,60,1,20,0.005236869905327407
Original DPs,policy,available,d_gender,5,0.11267270333094803,0.6808510638297872,47,1,20,-9.748986984705262e-5
Original DPs,policy,available,d_gender,6,0.001855065793564493,0.494949494949495,99,1,20,0.005443392007022124
Original DPs,policy,available,d_gender,7,0.016502411903610723,0.5238095238095238,126,1,20,0.004711024701519813
Original DPs,policy,available,d_gender,8,-0.019816545457821477,0.40625,96,1,20,0.006526972569591423
Original DPs,policy,available,d_gender,19,-0.0065564150148258215,0.4523809523809524,84,1,20,0.00586396604744164
Original DPs,policy,available,d_gender,21,-0.013560604625938158,0.4444444444444444,81,1,20,0.006214175527997257
Original DPs,policy,available,d_gender,10,0.018245456423736074,0.5279187817258884,197,1,20,0.0046238724755135446
Original DPs,policy,available,d_gender,9,-0.018266154880359237,0.3819444444444444,144,1,20,0.0064494530407183115
Original DPs,policy,available,d_gender,16,-0.026944381674950314,0.375,48,1,20,0.006883364380447865
Original DPs,policy,available,d_gender,14,-0.0042939931426746744,0.46616541353383456,133,1,20,0.005750844953834083
Original DPs,policy,available,d_gender,11,-0.004138966119664641,0.4166666666666667,48,1,20,0.005743093602683581
Original DPs,policy,available,d_education,12,-0.004541088723327378,0.4838709677419355,31,1,20,0.013717666610196263
Original DPs,policy,available,d_education,13,0.017880208663172296,0.5412371134020618,194,1,20,0.01259660174087128
Original DPs,policy,available,d_education,20,8.88177043714402e-4,0.40540540540540543,259,1,20,0.013446203321844175
Original DPs,policy,available,d_education,15,0.007215387719094848,0.5909090909090909,88,1,20,0.013129842788075153
Original DPs,policy,available,d_education,17,0.017413727731764923,0.5306122448979592,98,1,20,0.012619925787441649
